"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","N°DPE","Code_postal_(BAN)","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score"
363,NA,59,2001,"2024-06-25",729,"2469N2285356L","69170",NA,34,"maison",273,54,0,"A",33.74786
238.7,1715,91,2684.8,"2023-11-08",778.8,"2369N3794967J","69170",40.6,5.1,"appartement",503.4,152.3,0,"C",33.54032
553,NA,66,3893,"2023-10-23",858,"2369N3582401T","69170",NA,53,"maison",186,72.7,0,"B",33.54032
188.4,1715,91.4,2515,"2023-11-08",729.5,"2369N3795010A","69170",40.7,5.1,"appartement",504.3,142.1,0,"C",33.54032
130.9,1502.2,77.2,2224.4,"2023-11-08",645.2,"2369N3794909D","69170",37.3,4.8,"appartement",483.5,137.2,0,"C",33.54032
471,NA,64,3602,"2023-04-26",852,"2369N1398277Z","69170",NA,37,"maison",280,83.8,0,"B",33.54032
130.9,1502.2,77.2,2224.4,"2023-11-08",645.2,"2369N3794891L","69170",37.3,4.8,"appartement",483.5,137.2,0,"C",33.54032
172.5,1715,87.5,2419.6,"2023-11-08",701.8,"2369N3795025P","69170",39,4.9,"appartement",494.1,142.7,0,"C",33.54032
401,NA,60,2730,"2023-12-21",672,"2369N4441053V","69170",NA,23,"maison",188,64.5,0,"A",33.54032
222.9,1715,87,2587.7,"2023-11-08",750.6,"2369N3794979V","69170",38.8,4.8,"appartement",492.6,153.6,0,"C",33.54032
475,139,49,3620.8,"2023-11-27",671,"2369N4035646G","69170",139,13,"maison",118,59.9,0,"A",33.54032
160.4,1502.2,77.2,2326.2,"2023-11-08",674.7,"2369N3794934C","69170",37.3,4.8,"appartement",483.5,143.4,0,"C",33.54032
562,144.1,54,4297.5,"2023-01-23",774,"2369N0206146U","69170",144.1,9,"maison",133,68.6,0,"A",33.54032
186.7,1715,87.5,2468.6,"2023-11-08",716.1,"2369N3795052Q","69170",39,4.9,"appartement",494.1,145.6,0,"C",33.54032
364,89,36,2863.4,"2023-10-05",556,"2369N3343058G","69170",89,4,"maison",136,74,0,"B",33.54032
283.1,1502.2,84.5,2831.5,"2023-11-08",821.3,"2369N3794848U","69170",40.8,5.3,"appartement",504.5,159.6,0,"C",33.54032
172.5,1715,87.5,2419.6,"2023-11-08",701.8,"2369N3794999P","69170",39,4.9,"appartement",494.1,142.7,0,"C",33.54032
465,134.1,53,3586.4,"2023-03-08",667,"2369N0759260K","69170",134.1,6,"maison",120,61.5,0,"A",33.54032
265.5,1502.2,83.8,2763.6,"2023-11-08",801.6,"2369N3794949R","69170",40.5,5.2,"appartement",502.7,156.9,0,"C",33.54032
563,1268.7,166.4,7092.3,"2023-12-08",807.7,"2369N4225419F","69170",72,9.8,"appartement",185.1,105.5,0,"C",33.54032
272.2,1715,144,4144.7,"2023-11-08",496.7,"2369N3795012C","69170",64.2,8,"appartement",166.5,68.7,0,"C",33.54032
156.1,1502.2,84.6,2780.6,"2023-11-08",330,"2369N3794943L","69170",40.9,5.3,"appartement",140.2,71.8,0,"C",33.54032
328.6,1715,143,4647.1,"2023-11-08",552.3,"2369N3794971N","69170",63.7,7.9,"appartement",166.1,77,0,"C",33.54032
8822,1268.7,783,114033.2,"2023-12-08",12981,"2369N4225363B","69170",1268.7,46,"immeuble",3192,96.2,0,"C",33.54032
160.7,1502.2,80.3,2785.5,"2023-11-08",329.5,"2369N3794954W","69170",38.8,5,"appartement",136.8,75.5,0,"C",33.54032
